,ID,promptID,prompt,english_prompt,german_word_count,english_word_count,topic,type,certainty,activations_en_named
0,20,1,Was kannst du mir zu dem Studiengang Architektur erzählen?,What can you tell me about the architecture program?,9,9,study_program,question,certain,"{'what can happen': 9.5, 'tell you or tell me': 9.25, 'what can you do': 8.375, 'architecture': 8.25, 'know about or tell about': 6.062, 'programmatic, programs': 7.438, 'describe or summarize topics': 6.875, 'tell me about': 5.375, 'how does': 4.312}"
1,20,2,Welche Möglichkeiten hat man rund um Heidelberg?,What options are available around Heidelberg?,7,6,uni,question,certain,"{'Hebei company names': 13.75, 'how many are': 8.438, 'topic, time, or scope': 7.719, 'options followed by list introducers': 4.719, 'what [noun] does/did/is': 6.219, 'Heibei/Hebei/Heidrun': 6.156, 'options to consider or choose': 5.5, 'assistant turn start': 4.406, 'city names': 4.406}"
2,20,3,Was ist mit der HAK oder der SRH,What is with the HAK or the SRH?,8,8,uni,follow-up_question,certain,"{'""what is"" questions': 14.688, 'SRV or Sri place names': 10.312, 'H + city/company names': 8.188, 'haz una': 7.344, 'Yak, Rak, Wak, Hak, Jak, AK': 7.156, 'hande, human, help, HA, HDR': 5.188, 'h followed by word beginnings': 5.906, 'nhentai': 5.219, 'assistant turn start': 5.094}"
3,20,4,"Wie finde ich raus, dass Architektur zu mir passt?",How do I find out if architecture is right for me?,9,11,matching,question,uncertain,"{'how do i questions': 11.562, 'architect role and attributes': 6.469, 'how can I do a task': 9.062, 'architecture': 8.875, 'how do you actions': 8.812, 'finding the right choice': 5.844, 'right': 6.812, 'requests to find': 6.25}"
4,20,5,Was ist der NC für Architektur im Durchschnitt?,What is the average NC for architecture?,8,7,grades,question,certain,"{'questions about meaning and purpose': 15.438, '""what is"" questions': 14.625, 'average followed by a noun': 11.188, 'architecture': 7.469, 'nvtop, nvme, NTFS, NGH': 7.375, 'architect role and attributes': 7.344, 'US states': 4.438, 'Carolina Inc. 650 From': 4.406, 'assistant turn start': 4.25, 'how does': 3.812}"
5,20,6,Ist nur der NC wichtig?,Is only the NC important?,5,5,grades,follow-up_question,certain,"{'nvtop, nvme, NTFS, NGH': 8.75, 'specify allowed actions or content': 6.531, 'importance and its context': 6.031, 'Carolina Inc. 650 From': 4.75, 'US states': 4.125, 'selecting specific information only': 3.797, '""the"" followed by nouns in questions': 3.531, 'only followed by limited condition': 3.484, 'assistant turn start': 3.25, 'capability questions': 3.172}"
6,20,7,Braucht man eine Mappe die man abzieht?,Do you need a folder that you can remove?,7,9,grades,follow-up_question,certain,"{'folder name structure': 11.875, 'remove unwanted items': 9.812, 'asking what you are looking for': 8.375, 'looking for a': 4.281, 'you followed by verbs': 4.156, 'need for help and assistance': 4.094, 'that can': 4.031, 'introduces next idea after question': 3.859, 'need for help or action': 3.656, 'carrying items in bags or pockets': 3.609}"
7,20,8,Ist es ein teures Studium?,Is it an expensive course of study?,5,7,finance,follow-up_question,certain,"{'is it + condition/possibility': 6.031, 'course of action': 8.438, 'expensive to': 8.125, '""a"" followed by a word': 7.781, 'studying and its contexts': 5.562, 'low cost or affordable options': 4.375, 'capability questions': 4.031, '""an"" followed by vowel-starting word': 4}"
8,21,9,Wie kannst du mir helfen bei der Berufswahl,How can you help me with career choice?,8,8,job,question,uncertain,"{'questions starting with how can': 14.938, 'career path and development': 13.188, 'how can i use': 8.562, 'top choices for': 7.875, 'help you with that/your': 5.125, 'helping others out': 4.938, 'assistant turn start': 4.531, 'best way to do': 4.438, 'how does': 4.156, 'requests for assistance': 4.062}"
9,21,10,Ich bin interessiert an Technik Chemie und auch Sport Amigo,"I am interested in technology, chemistry, and also sports, buddy.",10,10,interests,statement,certain,"{'sport news and sports car': 11.562, 'expressing interest in': 10.688, 'technologies and business concepts': 4.594, 'technology transfer and industry': 9.438, 'Self-description after ""i am"" or ""i\'m""': 7.906, 'interested in learning or knowing': 7.875, 'friendliness and associates': 6.125, 'i am [predicate]': 5.562, 'hobby and interest lists': 4.906}"
